candidate,domain,language_scope,tasks,disorders,evidence_level,status,feature_keys,reference,reason
egemaps_f1bandwidth_sma3nz_amean,articulation,language_sensitive,connected_speech|sustained_vowel,,standard_feature_set,optional,egemaps_f1bandwidth_sma3nz_amean,https://doi.org/10.1109/TAFFC.2015.2457417,
egemaps_f1bandwidth_sma3nz_stddevnorm,articulation,language_sensitive,connected_speech|sustained_vowel,,standard_feature_set,optional,egemaps_f1bandwidth_sma3nz_stddevnorm,https://doi.org/10.1109/TAFFC.2015.2457417,
egemaps_f1frequency_sma3nz_amean,articulation,language_sensitive,connected_speech|sustained_vowel,,standard_feature_set,optional,egemaps_f1frequency_sma3nz_amean,https://doi.org/10.1109/TAFFC.2015.2457417,
egemaps_f1frequency_sma3nz_stddevnorm,articulation,language_sensitive,connected_speech|sustained_vowel,,standard_feature_set,optional,egemaps_f1frequency_sma3nz_stddevnorm,https://doi.org/10.1109/TAFFC.2015.2457417,
egemaps_f2amplitudelogrelf0_sma3nz_amean,articulation,language_sensitive,connected_speech|sustained_vowel,,standard_feature_set,optional,egemaps_f2amplitudelogrelf0_sma3nz_amean,https://doi.org/10.1109/TAFFC.2015.2457417,
egemaps_f2amplitudelogrelf0_sma3nz_stddevnorm,articulation,language_sensitive,connected_speech|sustained_vowel,,standard_feature_set,optional,egemaps_f2amplitudelogrelf0_sma3nz_stddevnorm,https://doi.org/10.1109/TAFFC.2015.2457417,
egemaps_f2bandwidth_sma3nz_amean,articulation,language_sensitive,connected_speech|sustained_vowel,,standard_feature_set,optional,egemaps_f2bandwidth_sma3nz_amean,https://doi.org/10.1109/TAFFC.2015.2457417,
egemaps_f2bandwidth_sma3nz_stddevnorm,articulation,language_sensitive,connected_speech|sustained_vowel,,standard_feature_set,optional,egemaps_f2bandwidth_sma3nz_stddevnorm,https://doi.org/10.1109/TAFFC.2015.2457417,
egemaps_f2frequency_sma3nz_amean,articulation,language_sensitive,connected_speech|sustained_vowel,,standard_feature_set,optional,egemaps_f2frequency_sma3nz_amean,https://doi.org/10.1109/TAFFC.2015.2457417,
egemaps_f2frequency_sma3nz_stddevnorm,articulation,language_sensitive,connected_speech|sustained_vowel,,standard_feature_set,optional,egemaps_f2frequency_sma3nz_stddevnorm,https://doi.org/10.1109/TAFFC.2015.2457417,
egemaps_f3amplitudelogrelf0_sma3nz_amean,articulation,language_sensitive,connected_speech|sustained_vowel,,standard_feature_set,optional,egemaps_f3amplitudelogrelf0_sma3nz_amean,https://doi.org/10.1109/TAFFC.2015.2457417,
egemaps_f3amplitudelogrelf0_sma3nz_stddevnorm,articulation,language_sensitive,connected_speech|sustained_vowel,,standard_feature_set,optional,egemaps_f3amplitudelogrelf0_sma3nz_stddevnorm,https://doi.org/10.1109/TAFFC.2015.2457417,
egemaps_f3bandwidth_sma3nz_amean,articulation,language_sensitive,connected_speech|sustained_vowel,,standard_feature_set,optional,egemaps_f3bandwidth_sma3nz_amean,https://doi.org/10.1109/TAFFC.2015.2457417,
egemaps_f3bandwidth_sma3nz_stddevnorm,articulation,language_sensitive,connected_speech|sustained_vowel,,standard_feature_set,optional,egemaps_f3bandwidth_sma3nz_stddevnorm,https://doi.org/10.1109/TAFFC.2015.2457417,
egemaps_f3frequency_sma3nz_amean,articulation,language_sensitive,connected_speech|sustained_vowel,,standard_feature_set,optional,egemaps_f3frequency_sma3nz_amean,https://doi.org/10.1109/TAFFC.2015.2457417,
egemaps_f3frequency_sma3nz_stddevnorm,articulation,language_sensitive,connected_speech|sustained_vowel,,standard_feature_set,optional,egemaps_f3frequency_sma3nz_stddevnorm,https://doi.org/10.1109/TAFFC.2015.2457417,
audio_clipping_ratio,audio_quality,language_independent,connected_speech,ad|mci,derived_companion,implemented,audio_clipping_ratio,SAY catalog v1,
audio_dc_offset,audio_quality,language_independent,connected_speech,ad|mci,derived_companion,implemented,audio_dc_offset,SAY catalog v1,
audio_duration_s,audio_quality,language_independent,connected_speech,ad|mci,derived_companion,implemented,audio_duration_s,SAY catalog v1,
audio_rms_dbfs,audio_quality,language_independent,connected_speech,ad|mci,derived_companion,implemented,audio_rms_dbfs,SAY catalog v1,
calibrated absolute loudness without calibration,audio_quality,language_independent,connected_speech,,derived_companion,deferred,,docs/research/neurodegenerative-speech-feature-sources.md,absolute loudness is not reproducible without recording-chain calibration
features lacking a reproducible source formula,audio_quality,language_independent,,,derived_companion,deferred,,docs/research/neurodegenerative-speech-feature-sources.md,a reviewed reproducible formula is required before implementation
discourse_causal_cohesion_ratio,discourse,language_sensitive,,,derived_companion,implemented,discourse_causal_cohesion_ratio,SAY catalog v1,
discourse_content_accuracy_ratio,discourse,language_sensitive,,,derived_companion,implemented,discourse_content_accuracy_ratio,SAY catalog v1,
discourse_correct_pronoun_ratio,discourse,language_sensitive,,,derived_companion,implemented,discourse_correct_pronoun_ratio,SAY catalog v1,
discourse_examiner_prompt_ratio,discourse,language_sensitive,connected_speech,ad|als|cbs|dlb|ftd|hd|mci|pd|pdd|ppa,derived_companion,implemented,discourse_examiner_prompt_ratio,SAY catalog v1,
discourse_global_coherence_ratio,discourse,language_sensitive,,,derived_companion,implemented,discourse_global_coherence_ratio,SAY catalog v1,
discourse_information_efficiency_per_min,discourse,language_sensitive,,,derived_companion,implemented,discourse_information_efficiency_per_min,SAY catalog v1,
discourse_information_unit_count,discourse,language_sensitive,,,derived_companion,implemented,discourse_information_unit_count,SAY catalog v1,
discourse_irrelevant_detail_ratio,discourse,language_sensitive,,,derived_companion,implemented,discourse_irrelevant_detail_ratio,SAY catalog v1,
discourse_local_lexical_coherence,discourse,language_sensitive,,,derived_companion,implemented,discourse_local_lexical_coherence,SAY catalog v1,
discourse_macroproposition_count,discourse,language_sensitive,,,derived_companion,implemented,discourse_macroproposition_count,SAY catalog v1,
discourse_marker_ratio,discourse,language_sensitive,,,derived_companion,implemented,discourse_marker_ratio,SAY catalog v1,
discourse_microproposition_count,discourse,language_sensitive,,,derived_companion,implemented,discourse_microproposition_count,SAY catalog v1,
discourse_overlap_ratio,discourse,language_sensitive,connected_speech,ad|als|cbs|dlb|ftd|hd|mci|pd|pdd|ppa,derived_companion,implemented,discourse_overlap_ratio,SAY catalog v1,
discourse_overlap_s,discourse,language_sensitive,connected_speech,ad|als|cbs|dlb|ftd|hd|mci|pd|pdd|ppa,derived_companion,implemented,discourse_overlap_s,SAY catalog v1,
discourse_referential_cohesion_ratio,discourse,language_sensitive,,,derived_companion,implemented,discourse_referential_cohesion_ratio,SAY catalog v1,
discourse_relevant_detail_ratio,discourse,language_sensitive,,,derived_companion,implemented,discourse_relevant_detail_ratio,SAY catalog v1,
discourse_response_latency_mean_s,discourse,language_sensitive,connected_speech,ad|als|cbs|dlb|ftd|hd|mci|pd|pdd|ppa,derived_companion,implemented,discourse_response_latency_mean_s,SAY catalog v1,
discourse_response_latency_s,discourse,language_sensitive,connected_speech,ad|als|cbs|dlb|ftd|hd|mci|pd|pdd|ppa,derived_companion,implemented,discourse_response_latency_s,SAY catalog v1,
discourse_response_latency_sd_s,discourse,language_sensitive,connected_speech,ad|als|cbs|dlb|ftd|hd|mci|pd|pdd|ppa,derived_companion,implemented,discourse_response_latency_sd_s,SAY catalog v1,
discourse_temporal_cohesion_ratio,discourse,language_sensitive,,,derived_companion,implemented,discourse_temporal_cohesion_ratio,SAY catalog v1,
discourse_topic_maintenance_ratio,discourse,language_sensitive,,,derived_companion,implemented,discourse_topic_maintenance_ratio,SAY catalog v1,
discourse_turn_count,discourse,language_sensitive,connected_speech,ad|als|cbs|dlb|ftd|hd|mci|pd|pdd|ppa,derived_companion,implemented,discourse_turn_count,SAY catalog v1,
discourse_turn_length_mean_syllables,discourse,language_sensitive,connected_speech,ad|als|cbs|dlb|ftd|hd|mci|pd|pdd|ppa,derived_companion,implemented,discourse_turn_length_mean_syllables,SAY catalog v1,
discourse_turn_length_mean_words,discourse,language_sensitive,connected_speech,ad|als|cbs|dlb|ftd|hd|mci|pd|pdd|ppa,derived_companion,implemented,discourse_turn_length_mean_words,SAY catalog v1,
discourse_turn_length_sd_syllables,discourse,language_sensitive,connected_speech,ad|als|cbs|dlb|ftd|hd|mci|pd|pdd|ppa,derived_companion,implemented,discourse_turn_length_sd_syllables,SAY catalog v1,
discourse_turn_length_sd_words,discourse,language_sensitive,connected_speech,ad|als|cbs|dlb|ftd|hd|mci|pd|pdd|ppa,derived_companion,implemented,discourse_turn_length_sd_words,SAY catalog v1,
discourse_turn_overlap_s,discourse,language_sensitive,connected_speech,ad|als|cbs|dlb|ftd|hd|mci|pd|pdd|ppa,derived_companion,implemented,discourse_turn_overlap_s,SAY catalog v1,
discourse_turn_syllable_count,discourse,language_sensitive,connected_speech,ad|als|cbs|dlb|ftd|hd|mci|pd|pdd|ppa,derived_companion,implemented,discourse_turn_syllable_count,SAY catalog v1,
discourse_turn_word_count,discourse,language_sensitive,connected_speech,ad|als|cbs|dlb|ftd|hd|mci|pd|pdd|ppa,derived_companion,implemented,discourse_turn_word_count,SAY catalog v1,
disfluency_annotated_error_count,disfluency,language_sensitive,connected_speech,ad|als|cbs|dlb|ftd|hd|mci|pd|pdd|ppa,derived_companion,implemented,disfluency_annotated_error_count,SAY catalog v1,
disfluency_annotated_error_ratio,disfluency,language_sensitive,connected_speech,ad|als|cbs|dlb|ftd|hd|mci|pd|pdd|ppa,derived_companion,implemented,disfluency_annotated_error_ratio,SAY catalog v1,
disfluency_circumlocution_error_count,disfluency,language_sensitive,,,derived_companion,implemented,disfluency_circumlocution_error_count,SAY catalog v1,
disfluency_circumlocution_error_ratio,disfluency,language_sensitive,,,derived_companion,implemented,disfluency_circumlocution_error_ratio,SAY catalog v1,
disfluency_closed_class_error_count,disfluency,language_sensitive,,,derived_companion,implemented,disfluency_closed_class_error_count,SAY catalog v1,
disfluency_closed_class_error_ratio,disfluency,language_sensitive,,,derived_companion,implemented,disfluency_closed_class_error_ratio,SAY catalog v1,
disfluency_filler_count,disfluency,language_sensitive,connected_speech,ad|als|cbs|dlb|ftd|hd|mci|pd|pdd|ppa,derived_companion,implemented,disfluency_filler_count,SAY catalog v1,
disfluency_filler_ratio,disfluency,language_sensitive,connected_speech,ad|als|cbs|dlb|ftd|hd|mci|pd|pdd|ppa,derived_companion,implemented,disfluency_filler_ratio,SAY catalog v1,
disfluency_fragment_count,disfluency,language_sensitive,connected_speech,ad|als|cbs|dlb|ftd|hd|mci|pd|pdd|ppa,derived_companion,implemented,disfluency_fragment_count,SAY catalog v1,
disfluency_fragment_ratio,disfluency,language_sensitive,connected_speech,ad|als|cbs|dlb|ftd|hd|mci|pd|pdd|ppa,derived_companion,implemented,disfluency_fragment_ratio,SAY catalog v1,
disfluency_immediate_repetition_count,disfluency,language_sensitive,connected_speech,ad|als|cbs|dlb|ftd|hd|mci|pd|pdd|ppa,derived_companion,implemented,disfluency_immediate_repetition_count,SAY catalog v1,
disfluency_immediate_repetition_ratio,disfluency,language_sensitive,connected_speech,ad|als|cbs|dlb|ftd|hd|mci|pd|pdd|ppa,derived_companion,implemented,disfluency_immediate_repetition_ratio,SAY catalog v1,
disfluency_indefinite_term_error_count,disfluency,language_sensitive,,,derived_companion,implemented,disfluency_indefinite_term_error_count,SAY catalog v1,
disfluency_indefinite_term_error_ratio,disfluency,language_sensitive,,,derived_companion,implemented,disfluency_indefinite_term_error_ratio,SAY catalog v1,
disfluency_inflectional_error_count,disfluency,language_sensitive,,,derived_companion,implemented,disfluency_inflectional_error_count,SAY catalog v1,
disfluency_inflectional_error_ratio,disfluency,language_sensitive,,,derived_companion,implemented,disfluency_inflectional_error_ratio,SAY catalog v1,
disfluency_maze_count,disfluency,language_sensitive,connected_speech,ad|als|cbs|dlb|ftd|hd|mci|pd|pdd|ppa,derived_companion,implemented,disfluency_maze_count,SAY catalog v1,
disfluency_maze_ratio,disfluency,language_sensitive,connected_speech,ad|als|cbs|dlb|ftd|hd|mci|pd|pdd|ppa,derived_companion,implemented,disfluency_maze_ratio,SAY catalog v1,
disfluency_morphological_error_count,disfluency,language_sensitive,,,derived_companion,implemented,disfluency_morphological_error_count,SAY catalog v1,
disfluency_morphological_error_ratio,disfluency,language_sensitive,,,derived_companion,implemented,disfluency_morphological_error_ratio,SAY catalog v1,
disfluency_neologism_error_count,disfluency,language_sensitive,,,derived_companion,implemented,disfluency_neologism_error_count,SAY catalog v1,
disfluency_neologism_error_ratio,disfluency,language_sensitive,,,derived_companion,implemented,disfluency_neologism_error_ratio,SAY catalog v1,
disfluency_perseveration_error_count,disfluency,language_sensitive,,,derived_companion,implemented,disfluency_perseveration_error_count,SAY catalog v1,
disfluency_perseveration_error_ratio,disfluency,language_sensitive,,,derived_companion,implemented,disfluency_perseveration_error_ratio,SAY catalog v1,
disfluency_phonemic_error_count,disfluency,language_sensitive,,,derived_companion,implemented,disfluency_phonemic_error_count,SAY catalog v1,
disfluency_phonemic_error_ratio,disfluency,language_sensitive,,,derived_companion,implemented,disfluency_phonemic_error_ratio,SAY catalog v1,
disfluency_phonetic_error_count,disfluency,language_sensitive,,,derived_companion,implemented,disfluency_phonetic_error_count,SAY catalog v1,
disfluency_phonetic_error_ratio,disfluency,language_sensitive,,,derived_companion,implemented,disfluency_phonetic_error_ratio,SAY catalog v1,
disfluency_retracing_count,disfluency,language_sensitive,connected_speech,ad|als|cbs|dlb|ftd|hd|mci|pd|pdd|ppa,derived_companion,implemented,disfluency_retracing_count,SAY catalog v1,
disfluency_retracing_ratio,disfluency,language_sensitive,connected_speech,ad|als|cbs|dlb|ftd|hd|mci|pd|pdd|ppa,derived_companion,implemented,disfluency_retracing_ratio,SAY catalog v1,
disfluency_revision_count,disfluency,language_sensitive,connected_speech,ad|als|cbs|dlb|ftd|hd|mci|pd|pdd|ppa,derived_companion,implemented,disfluency_revision_count,SAY catalog v1,
disfluency_revision_ratio,disfluency,language_sensitive,connected_speech,ad|als|cbs|dlb|ftd|hd|mci|pd|pdd|ppa,derived_companion,implemented,disfluency_revision_ratio,SAY catalog v1,
disfluency_semantic_error_count,disfluency,language_sensitive,,,derived_companion,implemented,disfluency_semantic_error_count,SAY catalog v1,
disfluency_semantic_error_ratio,disfluency,language_sensitive,,,derived_companion,implemented,disfluency_semantic_error_ratio,SAY catalog v1,
disfluency_syntactic_error_count,disfluency,language_sensitive,,,derived_companion,implemented,disfluency_syntactic_error_count,SAY catalog v1,
disfluency_syntactic_error_ratio,disfluency,language_sensitive,,,derived_companion,implemented,disfluency_syntactic_error_ratio,SAY catalog v1,
disfluency_visual_error_count,disfluency,language_sensitive,,,derived_companion,implemented,disfluency_visual_error_count,SAY catalog v1,
disfluency_visual_error_ratio,disfluency,language_sensitive,,,derived_companion,implemented,disfluency_visual_error_ratio,SAY catalog v1,
disfluency_word_finding_error_count,disfluency,language_sensitive,,,derived_companion,implemented,disfluency_word_finding_error_count,SAY catalog v1,
disfluency_word_finding_error_ratio,disfluency,language_sensitive,,,derived_companion,implemented,disfluency_word_finding_error_ratio,SAY catalog v1,
ASR-derived confidence and perplexity,lexical,language_specific,connected_speech,,single_study,deferred,,docs/research/neurodegenerative-speech-feature-sources.md,requires an ASR system and Vietnamese held-out transcription validation
lex_character_count,lexical,language_dependent,connected_speech,ad|als|cbs|dlb|ftd|hd|mci|pd|pdd|ppa|psp,derived_companion,implemented,lex_character_count,SAY catalog v1,
lex_lemma_brunet_w,lexical,language_dependent,connected_speech,ad|als|cbs|dlb|ftd|hd|mci|pd|pdd|ppa|psp,derived_companion,implemented,lex_lemma_brunet_w,SAY catalog v1,
lex_lemma_entropy,lexical,language_dependent,connected_speech,ad|als|cbs|dlb|ftd|hd|mci|pd|pdd|ppa|psp,derived_companion,implemented,lex_lemma_entropy,SAY catalog v1,
lex_lemma_hapax_ratio,lexical,language_dependent,connected_speech,ad|als|cbs|dlb|ftd|hd|mci|pd|pdd|ppa|psp,derived_companion,implemented,lex_lemma_hapax_ratio,SAY catalog v1,
lex_lemma_hdd_42,lexical,language_dependent,connected_speech,ad|als|cbs|dlb|ftd|hd|mci|pd|pdd|ppa|psp,derived_companion,implemented,lex_lemma_hdd_42,SAY catalog v1,
lex_lemma_honore_r,lexical,language_dependent,connected_speech,ad|als|cbs|dlb|ftd|hd|mci|pd|pdd|ppa|psp,derived_companion,implemented,lex_lemma_honore_r,SAY catalog v1,
lex_lemma_mattr_20,lexical,language_dependent,connected_speech,ad|als|cbs|dlb|ftd|hd|mci|pd|pdd|ppa|psp,derived_companion,implemented,lex_lemma_mattr_20,SAY catalog v1,
lex_lemma_mtld,lexical,language_dependent,connected_speech,ad|als|cbs|dlb|ftd|hd|mci|pd|pdd|ppa|psp,derived_companion,implemented,lex_lemma_mtld,SAY catalog v1,
lex_lemma_ttr,lexical,language_dependent,connected_speech,ad|als|cbs|dlb|ftd|hd|mci|pd|pdd|ppa|psp,derived_companion,implemented,lex_lemma_ttr,SAY catalog v1,
lex_mlu_syllables,lexical,language_dependent,connected_speech,ad|als|cbs|dlb|ftd|hd|mci|pd|pdd|ppa|psp,derived_companion,implemented,lex_mlu_syllables,SAY catalog v1,
lex_mlu_words,lexical,language_dependent,connected_speech,ad|als|cbs|dlb|ftd|hd|mci|pd|pdd|ppa|psp,derived_companion,implemented,lex_mlu_words,SAY catalog v1,
lex_syllable_count,lexical,language_dependent,connected_speech,ad|als|cbs|dlb|ftd|hd|mci|pd|pdd|ppa|psp,derived_companion,implemented,lex_syllable_count,SAY catalog v1,
lex_token_brunet_w,lexical,language_dependent,connected_speech,ad|als|cbs|dlb|ftd|hd|mci|pd|pdd|ppa|psp,derived_companion,implemented,lex_token_brunet_w,SAY catalog v1,
lex_token_count,lexical,language_dependent,connected_speech,ad|als|cbs|dlb|ftd|hd|mci|pd|pdd|ppa|psp,derived_companion,implemented,lex_token_count,SAY catalog v1,
lex_token_entropy,lexical,language_dependent,connected_speech,ad|als|cbs|dlb|ftd|hd|mci|pd|pdd|ppa|psp,derived_companion,implemented,lex_token_entropy,SAY catalog v1,
lex_token_hapax_ratio,lexical,language_dependent,connected_speech,ad|als|cbs|dlb|ftd|hd|mci|pd|pdd|ppa|psp,derived_companion,implemented,lex_token_hapax_ratio,SAY catalog v1,
lex_token_hdd_42,lexical,language_dependent,connected_speech,ad|als|cbs|dlb|ftd|hd|mci|pd|pdd|ppa|psp,derived_companion,implemented,lex_token_hdd_42,SAY catalog v1,
lex_token_honore_r,lexical,language_dependent,connected_speech,ad|als|cbs|dlb|ftd|hd|mci|pd|pdd|ppa|psp,derived_companion,implemented,lex_token_honore_r,SAY catalog v1,
lex_token_length_mean_characters,lexical,language_dependent,connected_speech,ad|als|cbs|dlb|ftd|hd|mci|pd|pdd|ppa|psp,derived_companion,implemented,lex_token_length_mean_characters,SAY catalog v1,
lex_token_length_sd_characters,lexical,language_dependent,connected_speech,ad|als|cbs|dlb|ftd|hd|mci|pd|pdd|ppa|psp,derived_companion,implemented,lex_token_length_sd_characters,SAY catalog v1,
lex_token_mattr_20,lexical,language_dependent,connected_speech,ad|als|cbs|dlb|ftd|hd|mci|pd|pdd|ppa|psp,derived_companion,implemented,lex_token_mattr_20,SAY catalog v1,
lex_token_mtld,lexical,language_dependent,connected_speech,ad|als|cbs|dlb|ftd|hd|mci|pd|pdd|ppa|psp,derived_companion,implemented,lex_token_mtld,SAY catalog v1,
lex_token_ttr,lexical,language_dependent,connected_speech,ad|als|cbs|dlb|ftd|hd|mci|pd|pdd|ppa|psp,derived_companion,implemented,lex_token_ttr,SAY catalog v1,
lex_unique_token_count,lexical,language_dependent,connected_speech,ad|als|cbs|dlb|ftd|hd|mci|pd|pdd|ppa|psp,derived_companion,implemented,lex_unique_token_count,SAY catalog v1,
lex_utterance_count,lexical,language_dependent,connected_speech,ad|als|cbs|dlb|ftd|hd|mci|pd|pdd|ppa|psp,derived_companion,implemented,lex_utterance_count,SAY catalog v1,
lex_word_count,lexical,language_dependent,connected_speech,ad|als|cbs|dlb|ftd|hd|mci|pd|pdd|ppa|psp,derived_companion,implemented,lex_word_count,SAY catalog v1,
lex_word_length_mean_syllables,lexical,language_dependent,connected_speech,ad|als|cbs|dlb|ftd|hd|mci|pd|pdd|ppa|psp,derived_companion,implemented,lex_word_length_mean_syllables,SAY catalog v1,
lex_word_length_sd_syllables,lexical,language_dependent,connected_speech,ad|als|cbs|dlb|ftd|hd|mci|pd|pdd|ppa|psp,derived_companion,implemented,lex_word_length_sd_syllables,SAY catalog v1,
morph_classifier_ratio,morphosyntactic,language_dependent,connected_speech,ad|als|cbs|dlb|ftd|hd|mci|pd|pdd|ppa|psp,derived_companion,implemented,morph_classifier_ratio,SAY catalog v1,
morph_clause_count,morphosyntactic,language_dependent,connected_speech,ad|als|cbs|dlb|ftd|hd|mci|pd|pdd|ppa|psp,derived_companion,implemented,morph_clause_count,SAY catalog v1,
morph_clause_rate_per_utterance,morphosyntactic,language_dependent,connected_speech,ad|als|cbs|dlb|ftd|hd|mci|pd|pdd|ppa|psp,derived_companion,implemented,morph_clause_rate_per_utterance,SAY catalog v1,
morph_clauses_per_sentence,morphosyntactic,language_sensitive,,,derived_companion,implemented,morph_clauses_per_sentence,SAY catalog v1,
morph_code_switch_ratio,morphosyntactic,language_dependent,connected_speech,ad|als|cbs|dlb|ftd|hd|mci|pd|pdd|ppa|psp,derived_companion,implemented,morph_code_switch_ratio,SAY catalog v1,
morph_complex_nominal_count,morphosyntactic,language_sensitive,,,derived_companion,implemented,morph_complex_nominal_count,SAY catalog v1,
morph_content_word_ratio,morphosyntactic,language_dependent,connected_speech,ad|als|cbs|dlb|ftd|hd|mci|pd|pdd|ppa|psp,derived_companion,implemented,morph_content_word_ratio,SAY catalog v1,
morph_coordinate_phrase_count,morphosyntactic,language_sensitive,,,derived_companion,implemented,morph_coordinate_phrase_count,SAY catalog v1,
morph_dep_adverbial_modifier_ratio,morphosyntactic,language_dependent,connected_speech,ad|als|cbs|dlb|ftd|hd|mci|pd|pdd|ppa|psp,derived_companion,implemented,morph_dep_adverbial_modifier_ratio,SAY catalog v1,
morph_dep_clausal_complement_ratio,morphosyntactic,language_dependent,connected_speech,ad|als|cbs|dlb|ftd|hd|mci|pd|pdd|ppa|psp,derived_companion,implemented,morph_dep_clausal_complement_ratio,SAY catalog v1,
morph_dep_coordination_ratio,morphosyntactic,language_dependent,connected_speech,ad|als|cbs|dlb|ftd|hd|mci|pd|pdd|ppa|psp,derived_companion,implemented,morph_dep_coordination_ratio,SAY catalog v1,
morph_dep_function_ratio,morphosyntactic,language_dependent,connected_speech,ad|als|cbs|dlb|ftd|hd|mci|pd|pdd|ppa|psp,derived_companion,implemented,morph_dep_function_ratio,SAY catalog v1,
morph_dep_nominal_modifier_ratio,morphosyntactic,language_dependent,connected_speech,ad|als|cbs|dlb|ftd|hd|mci|pd|pdd|ppa|psp,derived_companion,implemented,morph_dep_nominal_modifier_ratio,SAY catalog v1,
morph_dep_object_ratio,morphosyntactic,language_dependent,connected_speech,ad|als|cbs|dlb|ftd|hd|mci|pd|pdd|ppa|psp,derived_companion,implemented,morph_dep_object_ratio,SAY catalog v1,
